order_id,product_name,category,price,qty,amount,order_date,city,payment_method
76,Air Fryer,Home Appliances,41359,4,165436,2023-09-21,Ahmedabad,Credit Card
77,Air Fryer,Home Appliances,35785,1,35785,2023-11-25,Indore,Cash
78,Headphones,Electronics,1972,1,1972,2025-09-19,Hyderabad,UPI
79,Smartphone,Electronics,47402,2,94804,2025-02-01,Jaipur,Net Banking
80,Notebook,Stationery,6746,5,33730,2025-11-21,Bengaluru,Cash
81,Mixer Grinder,Home Appliances,27422,4,109688,2024-02-09,Mumbai,Credit Card
82,Smartphone,Electronics,12540,5,62700,2025-04-17,Pune,Credit Card
83,Shoes,Fashion,29110,5,145550,2024-05-27,Bengaluru,UPI
84,Notebook,Stationery,46505,3,139515,2023-10-13,Ahmedabad,Cash
85,Laptop,Electronics,36366,5,181830,2023-01-17,Kolkata,UPI
86,Headphones,Electronics,39411,1,39411,2025-09-11,Indore,Credit Card
87,Air Fryer,Home Appliances,38074,5,190370,2023-01-16,Indore,Net Banking
88,Headphones,Electronics,31496,4,125984,2024-12-29,Mumbai,Debit Card
89,T-Shirt,Fashion,24040,5,120200,2025-09-07,Kolkata,Cash
90,Shoes,Fashion,21544,4,86176,2025-05-20,Indore,Cash
91,Shoes,Fashion,2772,5,13860,2024-12-24,Chennai,Credit Card
92,Headphones,Electronics,6830,2,13660,2024-03-07,Kolkata,Net Banking
93,Laptop,Electronics,21047,3,63141,2023-09-04,Chennai,UPI
94,Shoes,Fashion,12135,1,12135,2023-09-11,Jaipur,UPI
95,Air Fryer,Home Appliances,8052,3,24156,2025-12-19,Chennai,Credit Card
96,Headphones,Electronics,37621,2,75242,2023-07-27,Indore,Net Banking
97,Laptop,Electronics,11627,4,46508,2024-10-13,Hyderabad,Debit Card
98,Mixer Grinder,Home Appliances,35694,1,35694,2023-11-17,Hyderabad,Credit Card
99,Pen Pack,Stationery,36089,2,72178,2024-05-30,Kolkata,UPI
100,Pen Pack,Stationery,2103,4,8412,2023-06-06,Chennai,Debit Card
101,Jeans,Fashion,20110,1,20110,2024-05-02,Ahmedabad,Debit Card
102,Shoes,Fashion,1993,3,5979,2023-08-13,Ahmedabad,UPI
103,Smartphone,Electronics,7388,3,22164,2023-07-08,Ahmedabad,UPI
104,Headphones,Electronics,29371,5,146855,2023-08-12,Chennai,Net Banking
105,T-Shirt,Fashion,4346,5,21730,2024-10-26,Jaipur,Cash
106,Laptop,Electronics,44799,4,179196,2025-10-18,Jaipur,Net Banking
107,T-Shirt,Fashion,3454,5,17270,2023-07-15,Delhi,Credit Card
108,Pen Pack,Stationery,42728,4,170912,2024-02-24,Kolkata,Debit Card
109,Notebook,Stationery,20276,3,60828,2025-04-09,Hyderabad,Credit Card
110,Jeans,Fashion,8259,3,24777,2023-07-21,Jaipur,Net Banking
111,Air Fryer,Home Appliances,14574,4,58296,2023-05-20,Hyderabad,Net Banking
112,Headphones,Electronics,29507,2,59014,2025-07-02,Indore,Net Banking
113,Pen Pack,Stationery,46318,4,185272,2024-10-13,Jaipur,Net Banking
114,Shoes,Fashion,36933,4,147732,2025-08-05,Mumbai,Net Banking
115,Air Fryer,Home Appliances,15156,5,75780,2023-11-07,Bengaluru,Debit Card
116,Air Fryer,Home Appliances,31257,5,156285,2025-10-09,Hyderabad,Debit Card
117,T-Shirt,Fashion,40880,2,81760,2025-05-03,Indore,Net Banking
118,T-Shirt,Fashion,38755,2,77510,2024-10-16,Bengaluru,Net Banking
119,Pen Pack,Stationery,450,1,450,2023-09-13,Hyderabad,Net Banking
120,Headphones,Electronics,49573,2,99146,2025-07-30,Hyderabad,UPI
121,Mixer Grinder,Home Appliances,37362,3,112086,2023-05-23,Pune,Credit Card
122,Pen Pack,Stationery,1929,4,7716,2023-11-06,Pune,Credit Card
123,Notebook,Stationery,10666,3,31998,2024-11-02,Bengaluru,Net Banking
124,T-Shirt,Fashion,19290,1,19290,2023-03-22,Chennai,Credit Card
125,Pen Pack,Stationery,34351,3,103053,2023-01-10,Chennai,UPI
126,Air Fryer,Home Appliances,33401,3,100203,2024-11-08,Indore,UPI
127,Pen Pack,Stationery,18680,2,37360,2024-01-23,Indore,Credit Card
128,Jeans,Fashion,29364,1,29364,2024-08-29,Hyderabad,Cash
129,Mixer Grinder,Home Appliances,29779,2,59558,2023-07-08,Jaipur,Credit Card
130,Notebook,Stationery,25733,2,51466,2025-07-09,Chennai,UPI
131,Notebook,Stationery,2879,1,2879,2025-01-15,Jaipur,UPI
132,Laptop,Electronics,33734,3,101202,2023-07-30,Mumbai,Debit Card
133,Jeans,Fashion,30799,2,61598,2024-12-11,Jaipur,Net Banking
134,Headphones,Electronics,46131,5,230655,2025-11-01,Jaipur,Credit Card
135,Shoes,Fashion,24157,3,72471,2025-10-13,Ahmedabad,Cash
136,Notebook,Stationery,5662,5,28310,2024-06-13,Ahmedabad,Credit Card
137,T-Shirt,Fashion,45763,1,45763,2024-03-28,Bengaluru,Net Banking
138,Air Fryer,Home Appliances,46485,1,46485,2024-11-26,Hyderabad,Credit Card
139,Laptop,Electronics,5125,5,25625,2025-10-19,Hyderabad,Credit Card
140,Pen Pack,Stationery,2330,5,11650,2024-11-02,Jaipur,UPI
141,Pen Pack,Stationery,32550,4,130200,2024-03-04,Bengaluru,Net Banking
142,Headphones,Electronics,3733,5,18665,2024-04-17,Delhi,Credit Card
143,Smartphone,Electronics,39321,2,78642,2024-04-14,Kolkata,Debit Card
144,Smartphone,Electronics,11126,2,22252,2024-03-22,Hyderabad,Debit Card
145,Smartphone,Electronics,34970,5,174850,2023-06-28,Pune,UPI
146,Notebook,Stationery,33864,1,33864,2025-05-27,Pune,Credit Card
147,Mixer Grinder,Home Appliances,3833,5,19165,2023-02-23,Ahmedabad,UPI
148,Jeans,Fashion,46811,1,46811,2024-05-18,Delhi,Debit Card
149,Headphones,Electronics,3801,1,3801,2024-06-14,Bengaluru,UPI
150,Notebook,Stationery,3727,3,11181,2023-04-08,Pune,Cash
151,Shoes,Fashion,22140,5,110700,2023-11-11,Chennai,Net Banking
152,T-Shirt,Fashion,48053,2,96106,2023-04-26,Jaipur,Net Banking
153,Smartphone,Electronics,25667,3,77001,2024-06-29,Ahmedabad,Cash
154,T-Shirt,Fashion,23782,2,47564,2024-09-10,Delhi,Cash
155,Headphones,Electronics,37578,4,150312,2025-01-17,Chennai,Cash
156,Mixer Grinder,Home Appliances,2628,4,10512,2025-04-03,Chennai,Net Banking
157,Headphones,Electronics,31377,4,125508,2024-07-22,Delhi,Net Banking
158,Headphones,Electronics,29780,2,59560,2023-04-19,Ahmedabad,Net Banking
159,Jeans,Fashion,42958,3,128874,2024-01-10,Mumbai,Debit Card
160,Mixer Grinder,Home Appliances,36217,4,144868,2025-01-24,Chennai,UPI
161,Shoes,Fashion,9170,2,18340,2025-12-27,Jaipur,Cash
162,Headphones,Electronics,24711,2,49422,2025-07-13,Pune,UPI
163,Mixer Grinder,Home Appliances,22230,4,88920,2024-06-23,Ahmedabad,UPI
164,T-Shirt,Fashion,22713,1,22713,2023-03-29,Ahmedabad,Credit Card
165,Pen Pack,Stationery,45194,3,135582,2024-01-22,Bengaluru,Debit Card
166,Pen Pack,Stationery,15721,1,15721,2025-08-10,Mumbai,Debit Card
167,T-Shirt,Fashion,22956,2,45912,2025-11-28,Pune,UPI
168,Laptop,Electronics,30750,5,153750,2023-10-03,Delhi,UPI
169,Pen Pack,Stationery,46285,2,92570,2024-10-31,Kolkata,UPI
170,Air Fryer,Home Appliances,8527,5,42635,2023-11-07,Delhi,Cash
171,Headphones,Electronics,15494,2,30988,2024-03-31,Delhi,Credit Card
172,Smartphone,Electronics,21634,1,21634,2024-12-09,Ahmedabad,Net Banking
173,Smartphone,Electronics,29149,5,145745,2024-04-14,Delhi,Debit Card
174,Pen Pack,Stationery,43768,1,43768,2024-02-19,Mumbai,Debit Card
175,T-Shirt,Fashion,2373,4,9492,2025-06-02,Kolkata,Net Banking
176,Smartphone,Electronics,43013,1,43013,2023-12-18,Kolkata,Credit Card
177,Jeans,Fashion,11850,5,59250,2025-06-26,Delhi,Debit Card
178,Pen Pack,Stationery,3610,4,14440,2023-02-21,Delhi,Cash
179,Air Fryer,Home Appliances,28138,3,84414,2025-11-01,Pune,Cash
180,Headphones,Electronics,11721,4,46884,2023-09-13,Chennai,UPI
181,Shoes,Fashion,1963,2,3926,2023-07-08,Ahmedabad,Debit Card
182,Smartphone,Electronics,12397,4,49588,2025-12-27,Mumbai,Cash
183,Pen Pack,Stationery,19629,3,58887,2024-11-10,Mumbai,Debit Card
184,Headphones,Electronics,26357,4,105428,2023-09-27,Jaipur,Credit Card
185,T-Shirt,Fashion,38388,3,115164,2023-04-05,Bengaluru,UPI
186,Headphones,Electronics,5915,3,17745,2024-05-14,Ahmedabad,Debit Card
187,Air Fryer,Home Appliances,11112,1,11112,2024-10-21,Indore,Cash
188,Laptop,Electronics,40690,2,81380,2025-12-20,Pune,Cash
189,Headphones,Electronics,40647,2,81294,2025-11-22,Mumbai,Net Banking
190,Smartphone,Electronics,27925,4,111700,2024-11-16,Jaipur,Credit Card
191,Notebook,Stationery,16680,4,66720,2024-03-03,Jaipur,UPI
192,Jeans,Fashion,7001,2,14002,2025-03-05,Delhi,Credit Card
193,Smartphone,Electronics,1949,1,1949,2025-11-16,Pune,Debit Card
194,T-Shirt,Fashion,28122,5,140610,2025-08-13,Jaipur,Debit Card
195,T-Shirt,Fashion,15402,1,15402,2023-05-19,Pune,Debit Card
196,Laptop,Electronics,1348,3,4044,2025-08-27,Chennai,Net Banking
197,Smartphone,Electronics,40903,5,204515,2024-02-05,Ahmedabad,Debit Card
198,Mixer Grinder,Home Appliances,31087,1,31087,2025-04-24,Mumbai,Net Banking
199,Headphones,Electronics,2887,5,14435,2025-09-04,Pune,Credit Card
200,Shoes,Fashion,14857,3,44571,2023-02-21,Jaipur,Cash
201,T-Shirt,Fashion,33869,1,33869,2025-04-08,Pune,Cash
202,Air Fryer,Home Appliances,39318,1,39318,2023-05-02,Indore,Net Banking
203,T-Shirt,Fashion,37382,1,37382,2023-06-13,Mumbai,Net Banking
204,Headphones,Electronics,11909,4,47636,2024-02-06,Kolkata,Cash
205,Laptop,Electronics,44366,4,177464,2024-09-10,Jaipur,Debit Card
206,Jeans,Fashion,2058,1,2058,2024-05-18,Bengaluru,Net Banking
207,Shoes,Fashion,37841,4,151364,2025-09-16,Jaipur,UPI
208,Shoes,Fashion,43976,3,131928,2024-04-23,Kolkata,Credit Card
209,Notebook,Stationery,23516,1,23516,2023-04-08,Chennai,Net Banking
210,Pen Pack,Stationery,1189,1,1189,2025-12-26,Hyderabad,Debit Card
211,Headphones,Electronics,35709,2,71418,2023-01-31,Indore,Debit Card
212,Pen Pack,Stationery,17900,4,71600,2023-02-23,Indore,Net Banking
213,Mixer Grinder,Home Appliances,29478,4,117912,2024-09-02,Kolkata,Credit Card
214,Shoes,Fashion,2336,5,11680,2024-11-17,Bengaluru,Credit Card
215,Air Fryer,Home Appliances,25634,5,128170,2024-08-30,Jaipur,Debit Card
216,Notebook,Stationery,16560,5,82800,2024-08-08,Bengaluru,UPI
217,Shoes,Fashion,45598,1,45598,2025-05-08,Chennai,Credit Card
218,Smartphone,Electronics,39490,2,78980,2023-05-02,Ahmedabad,Cash
219,Notebook,Stationery,5949,5,29745,2023-06-24,Indore,Net Banking
220,Laptop,Electronics,38109,2,76218,2024-05-14,Kolkata,Credit Card
221,Notebook,Stationery,24124,1,24124,2023-07-27,Chennai,Cash
222,Mixer Grinder,Home Appliances,42536,4,170144,2024-12-06,Kolkata,Cash
223,Pen Pack,Stationery,5290,1,5290,2025-09-22,Jaipur,Debit Card
224,Mixer Grinder,Home Appliances,18996,3,56988,2025-04-02,Jaipur,Debit Card
225,Smartphone,Electronics,33299,1,33299,2025-09-04,Indore,Cash
226,Laptop,Electronics,40879,3,122637,2023-10-26,Jaipur,Debit Card
227,Laptop,Electronics,39299,4,157196,2023-01-29,Bengaluru,Credit Card
228,Air Fryer,Home Appliances,4537,1,4537,2023-05-09,Bengaluru,Net Banking
229,Pen Pack,Stationery,44349,2,88698,2025-07-19,Ahmedabad,Cash
230,T-Shirt,Fashion,32683,2,65366,2024-02-11,Mumbai,Debit Card
231,Headphones,Electronics,43771,1,43771,2023-08-10,Delhi,Debit Card
232,Pen Pack,Stationery,12682,2,25364,2024-08-15,Kolkata,UPI
233,Pen Pack,Stationery,34071,5,170355,2024-10-24,Kolkata,Cash
234,Laptop,Electronics,27419,2,54838,2024-08-17,Jaipur,UPI
235,Air Fryer,Home Appliances,16921,3,50763,2023-02-11,Hyderabad,Credit Card
236,Jeans,Fashion,45491,2,90982,2024-02-23,Chennai,Credit Card
237,Air Fryer,Home Appliances,39932,4,159728,2024-12-23,Delhi,Credit Card
238,T-Shirt,Fashion,49600,1,49600,2023-02-04,Chennai,Debit Card
239,Notebook,Stationery,28713,4,114852,2025-02-05,Ahmedabad,Debit Card
240,Headphones,Electronics,6474,5,32370,2025-09-27,Mumbai,Debit Card
241,Mixer Grinder,Home Appliances,39398,3,118194,2025-12-05,Jaipur,Debit Card
242,Mixer Grinder,Home Appliances,12701,2,25402,2023-11-19,Hyderabad,Debit Card
243,Mixer Grinder,Home Appliances,42892,4,171568,2023-11-11,Bengaluru,Cash
244,Mixer Grinder,Home Appliances,537,5,2685,2025-04-06,Bengaluru,Debit Card
245,Shoes,Fashion,11519,1,11519,2024-11-24,Ahmedabad,Net Banking
246,Notebook,Stationery,359,5,1795,2025-12-11,Hyderabad,Net Banking
247,Laptop,Electronics,2742,5,13710,2024-09-02,Jaipur,Net Banking
248,Smartphone,Electronics,11368,5,56840,2025-02-10,Chennai,Credit Card
249,Air Fryer,Home Appliances,1237,4,4948,2023-11-10,Hyderabad,Credit Card
250,Air Fryer,Home Appliances,44349,3,133047,2025-05-03,Hyderabad,Cash
251,Notebook,Stationery,32766,1,32766,2025-05-20,Bengaluru,Cash
252,Jeans,Fashion,7417,2,14834,2023-01-18,Jaipur,Cash
253,Laptop,Electronics,21781,5,108905,2024-12-28,Jaipur,Debit Card
254,Mixer Grinder,Home Appliances,36434,2,72868,2023-04-10,Hyderabad,UPI
255,Notebook,Stationery,8817,1,8817,2025-09-29,Jaipur,Net Banking
256,T-Shirt,Fashion,37852,1,37852,2023-11-27,Jaipur,Net Banking
257,Notebook,Stationery,28197,2,56394,2023-09-02,Hyderabad,Credit Card
258,Mixer Grinder,Home Appliances,11860,5,59300,2023-10-15,Delhi,Net Banking
259,Air Fryer,Home Appliances,29531,4,118124,2024-06-15,Jaipur,Net Banking
260,Mixer Grinder,Home Appliances,40138,2,80276,2025-04-17,Kolkata,Cash
261,Air Fryer,Home Appliances,9372,3,28116,2024-01-02,Chennai,Credit Card
262,Headphones,Electronics,18499,2,36998,2024-07-28,Hyderabad,UPI
263,Mixer Grinder,Home Appliances,20294,3,60882,2023-02-11,Ahmedabad,Credit Card
264,Headphones,Electronics,24274,4,97096,2024-02-15,Chennai,Credit Card
265,Mixer Grinder,Home Appliances,38587,1,38587,2023-12-17,Kolkata,Credit Card
266,Air Fryer,Home Appliances,39109,3,117327,2024-08-14,Ahmedabad,Net Banking
267,Headphones,Electronics,10984,5,54920,2023-04-25,Indore,Credit Card
268,Headphones,Electronics,11288,4,45152,2023-01-16,Jaipur,Debit Card
269,T-Shirt,Fashion,31349,1,31349,2024-04-29,Mumbai,Net Banking
270,Jeans,Fashion,19616,2,39232,2025-01-17,Ahmedabad,UPI
271,Mixer Grinder,Home Appliances,4109,4,16436,2023-06-25,Pune,Cash
272,Headphones,Electronics,5088,3,15264,2023-12-11,Mumbai,Net Banking
273,Headphones,Electronics,32894,3,98682,2024-01-27,Ahmedabad,Credit Card
274,Shoes,Fashion,23342,2,46684,2025-12-26,Chennai,Debit Card
275,Air Fryer,Home Appliances,25491,3,76473,2025-09-21,Pune,Cash
276,Laptop,Electronics,31853,2,63706,2023-01-25,Indore,Credit Card
277,Notebook,Stationery,24020,5,120100,2025-12-08,Ahmedabad,Credit Card
278,Mixer Grinder,Home Appliances,42015,1,42015,2025-01-03,Delhi,Credit Card
279,Headphones,Electronics,23436,1,23436,2024-05-27,Delhi,Net Banking
280,Shoes,Fashion,11173,4,44692,2024-08-12,Jaipur,Cash
281,Air Fryer,Home Appliances,44114,1,44114,2023-05-06,Jaipur,Credit Card
282,Smartphone,Electronics,31774,2,63548,2025-06-25,Delhi,Net Banking
283,Laptop,Electronics,27013,3,81039,2023-12-02,Ahmedabad,Cash
284,Shoes,Fashion,21727,2,43454,2023-06-01,Hyderabad,Net Banking
285,Pen Pack,Stationery,24902,1,24902,2023-05-18,Mumbai,Debit Card
286,Shoes,Fashion,14934,2,29868,2025-06-07,Jaipur,Cash
287,Notebook,Stationery,9819,3,29457,2025-12-11,Bengaluru,Credit Card
288,Mixer Grinder,Home Appliances,16258,2,32516,2024-01-22,Delhi,Debit Card
289,Air Fryer,Home Appliances,10826,3,32478,2025-04-18,Delhi,Net Banking
290,Notebook,Stationery,632,1,632,2024-08-02,Kolkata,Cash
291,Pen Pack,Stationery,5136,2,10272,2024-02-13,Kolkata,Cash
292,Air Fryer,Home Appliances,31623,1,31623,2024-08-18,Mumbai,Credit Card
293,Smartphone,Electronics,22896,3,68688,2024-02-29,Bengaluru,Cash
294,Notebook,Stationery,10701,3,32103,2025-12-09,Pune,Credit Card
295,Mixer Grinder,Home Appliances,25488,5,127440,2025-07-01,Kolkata,Credit Card
296,Headphones,Electronics,11572,2,23144,2023-09-08,Ahmedabad,Net Banking
297,T-Shirt,Fashion,13560,3,40680,2025-05-31,Chennai,Cash
298,Mixer Grinder,Home Appliances,16984,5,84920,2024-10-07,Kolkata,Net Banking
299,Notebook,Stationery,20079,1,20079,2023-02-15,Mumbai,Debit Card
300,Air Fryer,Home Appliances,1055,1,1055,2025-07-11,Pune,Debit Card
301,Jeans,Fashion,25563,2,51126,2025-02-15,Pune,Cash
302,Shoes,Fashion,39412,5,197060,2025-12-21,Bengaluru,Debit Card
303,Jeans,Fashion,29349,1,29349,2025-09-17,Pune,Debit Card
304,Air Fryer,Home Appliances,6623,3,19869,2023-01-28,Mumbai,Debit Card
305,Air Fryer,Home Appliances,43444,4,173776,2023-05-23,Pune,Cash
306,Smartphone,Electronics,34801,3,104403,2023-12-19,Jaipur,Cash
307,Notebook,Stationery,42193,1,42193,2024-01-13,Bengaluru,Net Banking
308,Mixer Grinder,Home Appliances,18679,3,56037,2023-12-31,Delhi,Credit Card
309,Headphones,Electronics,4111,5,20555,2024-10-08,Ahmedabad,Debit Card
310,Headphones,Electronics,35169,3,105507,2025-04-08,Delhi,Net Banking
311,Mixer Grinder,Home Appliances,35295,1,35295,2025-07-19,Delhi,Debit Card
312,Mixer Grinder,Home Appliances,49733,2,99466,2024-12-25,Mumbai,Credit Card
313,Headphones,Electronics,16239,3,48717,2023-07-19,Jaipur,UPI
314,Smartphone,Electronics,27258,5,136290,2025-08-16,Jaipur,Credit Card
315,Pen Pack,Stationery,1017,5,5085,2025-02-05,Bengaluru,Net Banking
316,Smartphone,Electronics,9509,1,9509,2023-04-20,Mumbai,Credit Card
317,Jeans,Fashion,37437,2,74874,2023-05-22,Delhi,Debit Card
318,Mixer Grinder,Home Appliances,3783,5,18915,2023-03-01,Chennai,Cash
319,Pen Pack,Stationery,46298,4,185192,2025-02-18,Kolkata,UPI
320,Headphones,Electronics,16291,3,48873,2024-10-16,Pune,UPI
321,Laptop,Electronics,31452,5,157260,2024-04-26,Hyderabad,Credit Card
322,Shoes,Fashion,34775,1,34775,2024-04-14,Jaipur,UPI
323,Air Fryer,Home Appliances,10671,4,42684,2023-11-24,Delhi,Credit Card
324,Pen Pack,Stationery,38247,1,38247,2025-06-04,Pune,Credit Card
325,Notebook,Stationery,16403,1,16403,2024-04-10,Hyderabad,Debit Card
326,Notebook,Stationery,32933,3,98799,2023-07-17,Delhi,Credit Card
327,Notebook,Stationery,46169,5,230845,2025-06-30,Indore,Debit Card
328,Pen Pack,Stationery,993,4,3972,2023-05-22,Pune,Debit Card
329,Shoes,Fashion,39169,4,156676,2024-12-13,Bengaluru,Net Banking
330,Mixer Grinder,Home Appliances,20769,2,41538,2023-08-05,Ahmedabad,Cash
331,Notebook,Stationery,27013,4,108052,2025-05-12,Chennai,Cash
332,Shoes,Fashion,34276,1,34276,2024-06-21,Delhi,Debit Card
333,Notebook,Stationery,2167,3,6501,2024-08-09,Chennai,UPI
334,Laptop,Electronics,10986,1,10986,2024-07-11,Ahmedabad,Credit Card
335,Notebook,Stationery,26105,4,104420,2024-06-03,Pune,Credit Card
336,T-Shirt,Fashion,692,5,3460,2024-03-31,Pune,Credit Card
337,Jeans,Fashion,40325,2,80650,2024-07-21,Jaipur,Debit Card
338,Laptop,Electronics,14962,4,59848,2025-03-30,Jaipur,Cash
339,Smartphone,Electronics,22952,2,45904,2023-05-10,Hyderabad,Net Banking
340,Air Fryer,Home Appliances,38180,5,190900,2023-07-29,Delhi,Net Banking
341,Pen Pack,Stationery,2487,3,7461,2024-09-10,Bengaluru,UPI
342,Air Fryer,Home Appliances,9757,4,39028,2024-04-21,Hyderabad,Cash
343,Pen Pack,Stationery,5055,2,10110,2024-06-12,Kolkata,Credit Card
344,Jeans,Fashion,15224,4,60896,2023-05-09,Chennai,Cash
345,Jeans,Fashion,33925,5,169625,2024-12-07,Hyderabad,Cash
346,Mixer Grinder,Home Appliances,27080,3,81240,2025-01-17,Jaipur,Credit Card
347,Mixer Grinder,Home Appliances,43004,5,215020,2025-06-30,Ahmedabad,Credit Card
348,Shoes,Fashion,42380,5,211900,2024-06-08,Hyderabad,Net Banking
349,Headphones,Electronics,26542,4,106168,2024-07-25,Pune,UPI
350,Laptop,Electronics,19777,3,59331,2025-03-19,Indore,Debit Card
